id,smi
CHEMBL69367,CC1(C)CCC(C)(C)c2cc(C(=O)Nc3ccc(C(=O)O)cc3)ccc21
CHEMBL285179,C/C(=C\c1ccc2c(c1)C(C)(C)CCC2(C)C)c1ccc(C(=O)O)cc1
CHEMBL25202,CC1(C)CCC(C)(C)c2cc(NC(=O)c3ccc(C(=O)O)cc3)ccc21
CHEMBL1023,C=C(c1ccc(C(=O)O)cc1)c1cc2c(cc1C)C(C)(C)CCC2(C)C
CHEMBL80271,CC(C)N1CCC(C)(C)c2ccc(C#Cc3ccc(C(=O)O)cc3)cc21
CHEMBL705,CC1=C(/C=C/C(C)=C\C=C\C(C)=C\C(=O)O)C(C)(C)CCC1
CHEMBL275311,C/C(=C\c1ccc(C(=O)O)cc1)c1ccc2c(c1)C(C)(C)CCC2(C)C
CHEMBL512879,CCOCCOc1nc(-c2ccc(C(=O)O)cc2)sc1C
CHEMBL4224900,Cc1sc(-c2ccc(C(=O)O)cc2)nc1-c1ccc2c(c1)C(C)(C)CCC2(C)C
CHEMBL89581,CC(/C=C/CC1(c2cc(C(C)(C)C)cc(C(C)(C)C)c2)CC1)=C\C(=O)O
CHEMBL111589,COc1cc2c(cc1/C(C)=C\C=C\C(C)=C\C(=O)O)C(C)(C)CCC2(C)C
CHEMBL89241,CC(/C=C/C=C(\C)c1cc(C(C)(C)C)cc(C(C)(C)C)c1)=C\C(=O)O
CHEMBL38,CC1=C(/C=C/C(C)=C/C=C/C(C)=C/C(=O)O)C(C)(C)CCC1
CHEMBL73321,C/C(=C\c1ccc2c(c1)C(C)(C)CCS2)c1ccc(C(=O)O)cc1
CHEMBL32505,C/C(=C\c1ccc(C(=O)O)cc1)c1cc2c(cc1C)C(C)(C)CCC2(C)C
CHEMBL44478,CC1=C(/C=C\C(C)=C\C=C\C(C)=C\C(=O)O)C(C)(C)CCC1
CHEMBL308377,CC(/C=C/[C@H]1C[C@@]1(C)c1ccc2c(c1)C(C)(C)CCC2(C)C)=C\C(=O)O
CHEMBL1657,CCOC(=O)c1ccc(C#Cc2ccc3c(c2)C(C)(C)CCS3)nc1
CHEMBL3400678,CC(C)=CCc1c(O)ccc2oc3c4c(cc(O)c3c(=O)c12)OC(C)(C)C=C4
CHEMBL4212472,CC1(C)CCSc2ccc(C#Cc3cccc(C(=O)O)n3)cc21
CHEMBL517514,CC1Oc2cc3oc4c(O)c5c(cc4c(=O)c3c(O)c2C1(C)C)C=CC(C)(C)O5
